count_consonant,count_tone,count_vowel,date,description,id,internetarchive_url,jsondata,language_pk,markup_description,name,pk,source,source_url
15,0,10,,,2138,,{},511,,Andoa (SAPHON 2138),1723,,http://linguistics.berkeley.edu/~saphon/en/inv/Andoa.html
11,0,24,,,1922,,{},436,,Andoke (SAPHON 1922),1224,,http://linguistics.berkeley.edu/~saphon/en/inv/Andoke.html
11,0,15,,,224,,{},436,,ANDOKE (UPSID 224),2821,,http://web.phonetik.uni-frankfurt.de/L/L6851.html
21,0,5,,,1228,,{},1484,,Aneityum; Anejom̃ (PH 1228),1008,,
38,0,10,,,1661,,{},133,,Anfillo (GM 1661),1918,,
12,0,9,,,203,,{},1426,,ANGAATIHA (UPSID 203),77,,http://web.phonetik.uni-frankfurt.de/L/L8627.html
38,5,6,,,1703,,{},737,,Angami (RA 1703),82,,
24,3,9,,,657,,{},1379,,angas (AA 657),2201,,https://archive.org/details/rosettaproject_anc_ortho-1
30,3,11,,,125,,{},1379,,Angas (SPA 125),27,,https://archive.org/details/anc_SPA1979_phon
32,0,11,,,223,,{},1379,,ANGAS (UPSID 223),1341,,http://web.phonetik.uni-frankfurt.de/L/L4367.html
18,0,6,,,2918,,{},871,,Angkamuthi (ER 2918),623,,
22,2,12,,,1551,,{},703,,Angolar (GM 1551),523,,
19,0,17,,,2884,,{},286,,Anguthimri (ER 2884),328,,
23,2,11,,,1658,,{},1094,,Anii (GM 1658),163,,
22,0,4,,,2651,,{},1608,,Anindilyakwa (ER 2651),951,,
17,0,6,,,2958,,{},1160,,Antakirinya (ER 2958),1300,,
40,0,4,,,2705,,{},1246,,Antekerrepenhe (ER 2705),348,,
24,0,13,,,1094,,{},1179,,Antiguan Creole (PH 1094),564,,
22,2,19,,,658,,{},847,,anufɔ (AA 658),696,,https://archive.org/details/rosettaproject_cko_ortho-1
45,2,12,,,1246,,{},847,,anufɔ (GM 1246),828,,
21,4,14,,,1298,,{},440,,Anyi (GM 1298),939,,
19,5,16,,,1242,,{},440,,Anyi Sanvi (GM 1242),1680,,
19,4,24,,,1165,,{},1887,,Anywa (PH 1165),864,,
24,3,8,,,1704,,{},554,,Ao-Naga (RA 1704),885,,
14,0,6,,,497,,{},554,,AO (UPSID 497),2177,,http://web.phonetik.uni-frankfurt.de/L/L2512.html
12,0,12,,,1863,,{},777,,Apalaí (SAPHON 1863),2787,,http://linguistics.berkeley.edu/~saphon/en/inv/Apalai.html
24,3,13,,,1705,,{},1686,,Apatani (RA 1705),287,,
12,0,10,,,2071,,{},527,,Apiaká (SAPHON 2071),261,,http://linguistics.berkeley.edu/~saphon/en/inv/Apiaka.html
17,0,17,,,1953,,{},1218,,Apinayé (SAPHON 1953),2742,,http://linguistics.berkeley.edu/~saphon/en/inv/Apinaye.html
14,0,35,,,122,,{},1218,,Apinaye (SPA 122),874,,https://archive.org/details/apn_SPA1979_phon
13,0,17,,,226,,{},1218,,APINAYE (UPSID 226),2664,,http://web.phonetik.uni-frankfurt.de/L/L6809.html
14,0,26,,,1092,,{},1929,,Apurinã (PH 1092),405,,
14,0,20,,,1804,,{},1929,,Apurinã (SAPHON 1804),2728,,http://linguistics.berkeley.edu/~saphon/en/inv/Apurina.html
21,0,3,,,2761,,{},1623,,Arabana (ER 2761),1957,,
54,0,8,,,659,,{},1404,,arabe (AA 659),2155,,https://archive.org/details/rosettaproject_apd_ortho-1
19,0,10,,,2139,,{},64,,Arabela (SAPHON 2139),851,,http://linguistics.berkeley.edu/~saphon/en/inv/Arabela.html
11,0,7,,,229,,{},64,,ARABELA (UPSID 229),2645,,http://web.phonetik.uni-frankfurt.de/L/L6817.html
27,0,8,,,231,,{},1570,,ARABIC (UPSID 231),2017,,http://web.phonetik.uni-frankfurt.de/L/L4350.html
29,0,8,,,2157,,{},1977,,Arabic (UZ 2157),2871,,
20,0,7,,,2375,,{},189,,Aragonese (Chistabino) (EA 2375),690,,http://eurphon.info/languages/html?lang_id=25
20,0,25,,,1055,,{},189,,Aragonese (PH 1055),2890,,
13,0,5,,,1166,,{},466,,Arandai (PH 1166),2918,,
19,0,4,,,2044,,{},1223,,Araona (SAPHON 2044),2162,,http://linguistics.berkeley.edu/~saphon/en/inv/Araona.html
15,0,7,,,1167,,{},2062,,Arapesh (PH 1167),867,,
14,0,8,,,1999,,{},24,,Arara do Acre (SAPHON 1999),739,,http://linguistics.berkeley.edu/~saphon/en/inv/Shawa.html
19,0,14,,,2119,,{},835,,Arára do Mato Grosso (SAPHON 2119),1877,,http://linguistics.berkeley.edu/~saphon/en/inv/AraraMG.html
11,0,6,,,1864,,{},1467,,"Arára, Pará (SAPHON 1864)",2957,,http://linguistics.berkeley.edu/~saphon/en/inv/AraraPara.html
20,0,6,,,106,,{},1086,,Araucanian (SPA 106),2868,,https://archive.org/details/arn_SPA1979_phon
20,0,6,,,230,,{},1086,,ARAUCANIAN (UPSID 230),2476,,http://web.phonetik.uni-frankfurt.de/L/L6837.html
12,0,9,,,2072,,{},529,,Araweté (SAPHON 2072),2714,,http://linguistics.berkeley.edu/~saphon/en/inv/Arawete.html
30,0,7,,,2487,,{},838,,Arbëresh Albanian (Hora e Arbëreshëvet) (EA 2487),1376,,http://eurphon.info/languages/html?lang_id=28
30,0,6,,,2438,,{},838,,Arbëresh Albanian (Kundisa) (EA 2438),274,,http://eurphon.info/languages/html?lang_id=405
49,0,10,,,1525,,{},1697,,Arbore (GM 1525),1520,,
81,0,10,,,228,,{},1035,,ARCHI (UPSID 228),2972,,http://web.phonetik.uni-frankfurt.de/L/L2605.html
30,0,8,,,1396,,{},970,,Argobba (GM 1396),2033,,
11,0,14,,,1954,,{},1384,,Arikapú (SAPHON 1954),2908,,http://linguistics.berkeley.edu/~saphon/en/inv/Arikapu.html
35,5,9,,,1425,,{},1834,,Aringa (GM 1425),2376,,
17,0,5,,,2909,,{},1701,,Aritinngithigh (ER 2909),332,,
30,0,7,,,171,,{},780,,Armenian (SPA 171),2738,,https://archive.org/details/hye_SPA1979_phon
30,0,6,,,362,,{},780,,ARMENIAN (UPSID 362),1183,,http://web.phonetik.uni-frankfurt.de/L/L2022.html
26,0,3,,,1235,,{},655,,Arrarnte (PH 1235),640,,
27,0,4,,,2158,,{},1718,,"Arrernte, Central (UZ 2158)",1762,,
27,0,3,,,201,,{},1718,,ARRERNTE (UPSID 201),958,,http://web.phonetik.uni-frankfurt.de/L/L8362.html
